VALOR;UNIDAD;VIGENCIADESDE;VIGENCIAHASTA
1,825.83;COP;1/05/13;2/05/13
1,828.79;COP;30/04/13;30/04/13
1,833.70;COP;27/04/13;29/04/13
1,830.84;COP;26/04/13;26/04/13
1,836.79;COP;25/04/13;25/04/13
1,838.03;COP;24/04/13;24/04/13
1,841.14;COP;23/04/13;23/04/13
1,835.57;COP;20/04/13;22/04/13
1,847.02;COP;19/04/13;19/04/13
1,846.46;COP;18/04/13;18/04/13
1,833.98;COP;17/04/13;17/04/13
1,834.86;COP;16/04/13;16/04/13
1,827.79;COP;13/04/13;15/04/13
1,823.84;COP;12/04/13;12/04/13
1,821.20;COP;11/04/13;11/04/13
1,813.11;COP;10/04/13;10/04/13
1,817.66;COP;9/04/13;9/04/13
1,826.88;COP;6/04/13;8/04/13
1,829.01;COP;5/04/13;5/04/13
1,819.93;COP;4/04/13;4/04/13
1,817.14;COP;3/04/13;3/04/13
1,823.12;COP;2/04/13;2/04/13
1,832.20;COP;28/03/13;1/04/13
1,828.95;COP;27/03/13;27/03/13
1,825.79;COP;23/03/13;26/03/13
1,822.78;COP;22/03/13;22/03/13
1,812.35;COP;21/03/13;21/03/13
1,809.83;COP;20/03/13;20/03/13
1,809.58;COP;19/03/13;19/03/13
1,804.06;COP;16/03/13;18/03/13
1,824.81;COP;5/09/12;5/09/12
1,825.21;COP;1/09/12;4/09/12
1,830.50;COP;31/08/12;31/08/12
1,833.14;COP;30/08/12;30/08/12
1,828.99;COP;29/08/12;29/08/12
1,821.44;COP;28/08/12;28/08/12
1,814.83;COP;25/08/12;27/08/12
1,808.33;COP;24/08/12;24/08/12
1,812.88;COP;23/08/12;23/08/12
1,815.80;COP;22/08/12;22/08/12
1,822.59;COP;18/08/12;21/08/12
1,825.52;COP;17/08/12;17/08/12
1,817.18;COP;16/08/12;16/08/12
1,800.81;COP;15/08/12;15/08/12
1,792.86;COP;14/08/12;14/08/12
1,791.61;COP;11/08/12;13/08/12
